id,food_item,category,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugars_g,sodium_mg,cholesterol_mg,meal_type,water_intake_ml
1,oatmeal_with_berries,breakfast,320,11.2,54.3,7.1,8.5,12.4,140,0,breakfast,300
2,greek_yogurt_snack,snack,180,15.0,16.0,6.0,0.0,12.0,65,12,snack,200
3,grilled_chicken_salad,lunch,460,38.5,21.0,22.0,6.8,4.1,410,88,lunch,400
4,quinoa_bowl,lunch,510,19.2,68.0,17.4,9.1,7.0,360,0,lunch,350
5,salmon_with_vegetables,dinner,590,42.3,28.5,31.2,7.5,6.2,520,95,dinner,450
6,banana,snack,105,1.3,27.0,0.3,3.1,14.4,1,0,snack,150
7,turkey_wrap,lunch,430,29.4,44.8,14.0,5.7,5.9,690,52,lunch,300
8,lentil_soup,dinner,340,18.0,46.0,8.0,12.0,6.0,480,0,dinner,350
9,avocado_toast,breakfast,280,8.2,30.1,14.4,6.9,2.2,250,0,breakfast,250
10,protein_smoothie,snack,260,24.0,22.0,7.0,4.0,10.0,170,18,snack,300
11,brown_rice_and_beans,lunch,520,17.8,82.3,11.2,11.5,3.5,390,0,lunch,350
12,omelette_spinach,breakfast,330,23.0,6.8,22.1,2.4,2.1,420,365,breakfast,250

